95 95 95 95 95 95 95 95 95 95 95 95 95 95 95 96 78 78 78 78 78 78 78 78 94 95 95 95 95 290 290 95 95 95 95 95 95 95 95 95 291 273 273 273 273 273 273 273 273 289
95 95 95 95 95 95 95 95 95 95 95 95 95 95 95 96 93 93 93 68 93 93 93 93 94 95 95 95 95 95 95 95 95 95 95 95 95 95 95 95 291 288 288 288 263 288 288 288 288 289
95 95 95 95 95 95 95 95 95 95 95 95 95 95 95 96 15 15 15 38 15 15 15 15 94 95 95 95 95 95 95 95 95 95 95 95 95 95 95 95 291 210 210 210 233 210 210 210 210 289
95 95 95 95 95 95 95 95 95 95 95 95 95 95 95 96 0 0 0 157 187 0 0 167 94 95 95 95 95 95 95 95 95 95 95 95 95 95 95 95 291 195 195 195 352 382 195 195 362 289
96 130 78 78 78 78 78 97 98 78 78 78 78 127 128 129 0 0 1 2 2 3 0 167 94 291 273 273 273 273 273 273 292 293 273 273 273 273 322 323 324 195 195 196 197 197 198 195 362 289
96 145 93 93 68 93 93 112 113 93 93 68 93 142 143 144 0 0 16 17 17 18 0 0 94 291 340 288 288 263 288 288 307 308 288 288 263 288 337 338 339 195 195 211 212 212 213 195 195 289
96 15 99 15 38 15 99 15 15 99 15 38 15 99 15 15 0 0 16 17 17 18 0 0 94 291 210 294 210 233 210 294 210 210 294 210 233 210 294 210 210 195 195 211 212 212 213 195 214 289
96 0 41 0 159 189 41 0 0 0 0 158 188 41 0 0 0 0 16 17 17 18 0 0 94 291 195 236 195 354 384 236 195 195 236 195 353 383 236 195 195 195 195 211 212 212 213 195 195 289
96 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 16 17 17 18 0 0 94 291 195 195 195 195 195 195 195 195 195 195 195 195 199 200 201 202 195 211 212 212 213 195 195 289
96 0 0 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 17 17 17 18 0 0 94 291 195 195 196 197 197 197 197 197 197 197 197 197 197 197 197 197 197 212 212 212 213 195 195 289
96 152 182 16 17 17 17 17 17 17 17 17 17 17 17 17 17 17 17 17 17 18 0 0 94 291 347 377 211 212 212 212 212 212 212 212 212 212 212 212 212 212 212 212 212 212 213 195 195 289
96 0 0 16 17 17 17 17 17 17 17 17 17 17 17 17 17 17 17 17 17 18 0 0 94 291 195 195 211 212 212 212 212 212 212 212 212 212 212 212 212 212 212 212 212 212 213 195 195 289
96 0 0 31 32 32 32 32 32 32 32 32 32 32 32 32 32 32 17 17 17 18 0 0 94 291 195 195 226 227 227 227 227 227 227 227 227 227 227 227 227 227 227 212 212 212 213 195 195 289
96 0 0 0 0 185 0 0 0 0 0 0 184 0 0 0 0 0 16 17 17 18 0 0 94 291 195 215 216 195 380 195 195 195 195 195 195 379 195 195 195 195 195 211 212 212 213 195 195 289
96 0 0 0 155 0 0 106 107 0 0 154 0 0 168 168 0 0 16 17 17 18 0 0 94 291 195 195 195 350 195 195 301 302 214 195 349 195 195 363 363 195 195 211 212 212 213 195 195 289
132 80 80 80 80 80 80 80 80 80 80 80 80 80 80 81 0 0 16 17 17 18 0 0 94 327 275 275 275 275 275 275 275 275 275 275 275 275 275 275 276 195 195 211 212 212 213 195 195 289
95 95 95 95 95 95 95 95 95 95 95 95 95 95 95 96 105 0 16 17 17 18 0 0 94 95 95 95 95 95 95 95 95 95 95 95 95 95 95 95 291 300 195 211 212 212 213 195 195 289
95 95 95 95 95 95 95 95 95 95 95 95 95 95 95 96 47 0 31 32 32 33 0 0 94 95 95 95 95 95 95 95 95 95 95 95 95 95 95 95 291 242 195 226 227 227 228 195 195 289
95 95 95 95 95 95 95 95 95 95 95 95 95 95 95 96 0 0 0 0 0 0 0 0 94 95 95 95 95 95 95 95 95 95 95 95 95 95 95 95 291 195 195 195 195 195 195 195 195 289
95 95 95 95 95 95 95 95 95 95 95 95 95 95 95 132 80 80 80 80 80 80 80 80 131 95 95 95 95 95 95 95 95 95 95 95 95 95 95 95 327 275 275 275 275 275 275 275 275 326
95 95 95 95 95 95 95 95 95 95 95 95 95 95 95 95 95 95 95 95 95 95 95 95 95 290 290 290 290 290 290 290 290 290 290 290 290 290 290 290 290 290 290 290 290 290 290 290 290 290
95 95 95 95 95 95 95 95 95 95 95 95 95 95 95 95 95 95 95 95 95 95 95 95 95 290 290 290 290 290 290 290 290 290 290 290 290 290 290 290 290 290 290 290 290 290 290 290 290 290
