95 95 95 95 95 95 95 95 95 95 95 95 95 95 95 95 95 95 95 95 95 95 95 95 95
95 95 95 95 95 95 95 95 95 95 95 95 95 95 95 95 95 95 95 95 95 95 95 95 95
95 95 95 95 95 95 95 95 95 95 95 95 95 95 95 95 95 95 95 95 95 95 95 95 95
95 95 95 95 95 95 95 95 95 95 95 95 95 95 95 95 95 95 95 95 95 95 95 95 95
95 95 95 95 95 95 95 95 95 95 95 95 95 95 95 95 95 95 95 95 95 95 95 95 95
95 95 95 78 78 97 98 78 78 78 78 130 78 78 78 78 78 78 127 128 129 95 95 95 95
95 95 95 93 93 112 113 93 68 93 93 145 93 93 93 93 68 93 142 143 144 95 95 95 95
95 95 95 15 15 15 99 15 38 15 99 15 15 15 99 15 38 15 99 15 15 95 95 95 95
95 95 95 0 0 0 41 0 159 0 41 0 0 0 41 0 158 0 41 0 0 95 95 95 95
95 95 95 2 2 2 2 2 189 2 2 2 2 2 2 2 188 2 2 2 2 95 95 95 95
95 95 95 152 182 17 17 17 17 17 17 17 17 17 17 17 17 17 17 187 157 95 95 95 95
95 95 95 32 32 32 32 32 185 32 32 32 32 32 32 32 184 32 32 32 32 95 95 95 95
95 95 95 0 0 0 0 0 155 0 0 106 107 0 0 0 154 0 0 168 168 95 95 95 95
95 95 95 80 80 80 80 80 80 80 80 80 80 80 80 80 80 80 80 80 80 95 95 95 95
95 95 95 95 95 95 95 95 95 95 95 95 95 95 95 95 95 95 95 95 95 95 95 95 95
95 95 95 95 95 95 95 95 95 95 95 95 95 95 95 95 95 95 95 95 95 95 95 95 95
95 95 95 95 95 95 95 95 95 95 95 95 95 95 95 95 95 95 95 95 95 95 95 95 95
95 95 95 95 95 95 95 95 95 95 95 95 95 95 95 95 95 95 95 95 95 95 95 95 95
95 95 95 95 95 95 95 95 95 95 95 95 95 95 95 95 95 95 95 95 95 95 95 95 95
95 95 95 95 95 95 95 95 95 95 95 95 95 95 95 95 95 95 95 95 95 95 95 95 95
