95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
95,95,95,273,273,292,293,273,273,273,273,325,273,273,273,273,273,273,322,323,324,95,95,95,95
95,95,95,288,288,307,308,288,263,288,288,340,288,288,288,288,263,288,337,338,339,95,95,95,95
95,95,95,210,210,210,294,210,233,210,294,210,210,210,294,210,233,210,294,210,210,95,95,95,95
95,95,95,195,195,195,236,195,354,195,236,195,195,214,236,195,353,195,236,195,215,95,95,95,95
95,95,95,197,197,197,197,197,384,197,197,197,197,197,197,197,383,197,197,197,197,95,95,95,95
95,95,95,347,377,212,212,212,212,212,212,212,212,212,212,212,212,212,212,382,352,95,95,95,95
95,95,95,227,227,227,227,227,380,227,227,227,227,227,227,227,379,227,227,227,227,95,95,95,95
95,95,95,195,199,200,201,202,350,195,195,301,302,195,195,195,349,214,195,363,363,95,95,95,95
95,95,95,275,275,275,275,275,275,275,275,275,275,275,275,275,275,275,275,275,275,95,95,95,95
95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
