NIVEL 0
PANEL 325 205 25 25
NIVEL 1

INFORME 600 300 20 20 1
NIVEL 2
INFORME 450 200 20 20 2
NIVEL 3
ARMA 500 200 25 25 30 800
LLAVE 400 300 25 25
NIVEL 4
NIVEL 5
NIVEL 6
ENEMIGO 300 300 100 100
NIVEL 7
NIVEL 8
NIVEL 9
NIVEL 10
NIVEL 11
NIVEL 12
NIVEL 13
NIVEL 14
NIVEL 15
NIVEL 16
ARMA 500 200 25 25 30 800
NIVEL 17
NIVEL 18
NIVEL 19
ARMA 500 200 25 25 30 800
NIVEL 20
NIVEL 21
NIVEL 22
NIVEL 23
ARMA 500 200 25 25 30 800
NIVEL 24
NIVEL 25
NIVEL 26
NIVEL 27
NIVEL 28
ARMA 500 200 25 25 30 800
NIVEL 29
NIVEL 30
NIVEL 31
ARMA 500 200 25 25 30 800
NIVEL 32
NIVEL 33
NIVEL 34
ARMA 500 200 25 25 30 800
NIVEL 35
NIVEL 36
NIVEL 37
ARMA 500 200 25 25 30 800
NIVEL 38
NIVEL 39
NIVEL 40
NIVEL 41
ARMA 500 200 25 25 30 800
NIVEL 42
ARMA 500 200 25 25 30 800
NIVEL 43
ARMA 500 200 25 25 30 800
NIVEL 44
ARMA 500 200 25 25 30 800
ARMA 500 200 25 25 30 800
NIVEL 45
ARMA 500 200 25 25 30 800
NIVEL 46
ARMA 500 200 25 25 30 800
NIVEL 47
ARMA 500 200 25 25 30 800
